date,tmax,tmin,tmed
05/2004,21.28,13.84,17.56
06/2004,28.65,19.91,24.28
07/2004,31.26,20.76,26.01
08/2004,29.24,20.1,24.67
09/2004,26.11,17.7,21.91
10/2004,23.04,15.47,19.26
11/2004,18.98,10.99,14.98
12/2004,16.61,8.51,12.56
01/2005,15.44,6.19,10.81
02/2005,15.25,5.99,10.62
03/2005,17.48,11.03,14.25
04/2005,21.08,12.95,17.02
05/2005,24.15,15.59,19.87
06/2005,27.93,19.17,23.55
07/2005,28.51,19.46,23.98
08/2005,28.55,20.51,24.53
09/2005,26.3,17.87,22.08
10/2005,22.64,16.58,19.61
11/2005,18.22,10.44,14.33
12/2005,16.45,9.46,12.96
01/2006,14.72,7.13,10.93
02/2006,15.4,7.52,11.46
03/2006,17.91,10.62,14.26
04/2006,20.47,12.78,16.62
05/2006,25.04,15.83,20.43
06/2006,25.86,17.97,21.91
07/2006,30.1,20.16,25.13
08/2006,29.68,20.81,25.25
09/2006,27.27,19.14,23.2
10/2006,23.91,17.15,20.53
11/2006,20.41,14.06,17.24
12/2006,16.36,8.54,12.45
01/2007,16.43,6.76,11.59
02/2007,17.26,10.01,13.64
03/2007,18.65,9.99,14.32
04/2007,20.71,12.06,16.39
05/2007,23.8,14.47,19.14
06/2007,25.21,17.19,21.2
07/2007,30.03,19.06,24.55
08/2007,27.95,18.98,23.47
09/2007,25.49,18.99,22.24
10/2007,24.02,16.01,20.01
11/2007,20.23,11.46,15.84
12/2007,16.96,8.94,12.95
01/2008,17.42,9.53,13.47
02/2008,17.85,11.51,14.68
03/2008,19.85,9.95,14.9
04/2008,21.12,12.89,17.01
05/2008,21.14,13.82,17.48
06/2008,27.46,17.96,22.71
07/2008,28.79,19.28,24.04
08/2008,28.42,18.94,23.68
09/2008,24.96,17.47,21.21
10/2008,22.72,15.1,18.91
11/2008,18.38,9.19,13.79
12/2008,15.77,8.34,12.05
01/2009,14.71,7.49,11.1
02/2009,16.38,8.29,12.33
03/2009,19.76,11.61,15.69
04/2009,20.02,10.88,15.45
05/2009,23.75,14.85,19.3
06/2009,27.02,18.38,22.7
07/2009,30.22,19.09,24.65
08/2009,29.59,20.5,25.05
09/2009,26.77,18.75,22.76
10/2009,24.86,17.06,20.96
11/2009,20.78,13.07,16.93
12/2009,17.43,10.01,13.72
01/2010,16.07,9.77,12.92
02/2010,16.45,10.56,13.51
03/2010,17.88,11.37,14.62
04/2010,21.68,14.37,18.02
05/2010,23.76,14.61,19.18
06/2010,25.64,17.45,21.55
07/2010,30.72,21.28,26
08/2010,31.08,22.4,26.74
09/2010,26.9,19.16,23.03
10/2010,22.25,14.78,18.51
11/2010,18.71,11.29,15
12/2010,16.78,10.7,13.74
01/2011,15.81,9.32,12.57
02/2011,17.95,8.71,13.33
03/2011,17.91,10.97,14.44
04/2011,22.13,14.97,18.55
05/2011,24.51,17.41,20.96
06/2011,28.37,18.75,23.56
07/2011,29.46,19.58,24.52
08/2011,29.31,20.34,24.82
09/2011,27.33,19.11,23.22
10/2011,25.67,17.81,21.74
11/2011,19.19,12.84,16.02
12/2011,17.35,8.3,12.83
01/2012,16.92,7.76,12.34
02/2012,15.92,5.62,10.77
03/2012,19.49,11.06,15.28
04/2012,19.13,11.34,15.24
05/2012,26.23,16.46,21.34
06/2012,28.37,18.2,23.28
07/2012,29.77,19.11,24.44
08/2012,30.15,19.84,24.99
09/2012,26.48,19.21,22.85
10/2012,22.57,15.55,19.06
11/2012,18.79,12.59,15.69
12/2012,16.78,9.65,13.22
01/2013,16.35,9.29,12.82
02/2013,16.02,8,12.01
03/2013,17.15,11.51,14.33
04/2013,20.86,12.4,16.63
05/2013,22.65,13.8,18.22
06/2013,26.39,17.5,21.95
07/2013,28.23,20.24,24.23
08/2013,30.11,21.07,25.59
09/2013,26.57,20.2,23.39
10/2013,24.06,17.35,20.71
11/2013,19.29,11,15.14
12/2013,16.99,9.74,13.36
01/2014,17.11,10.24,13.68
02/2014,16.34,9.14,12.74
03/2014,18.85,10.56,14.7
04/2014,21.77,13.52,17.65
05/2014,25.3,15.88,20.59
06/2014,25.77,17.49,21.63
07/2014,26.85,18.57,22.71
08/2014,29.5,19.32,24.41
09/2014,25.37,19.05,22.21
10/2014,25.35,18.46,21.9
11/2014,20.11,13.31,16.71
12/2014,16.92,8.35,12.63
01/2015,16.78,7.01,11.9
02/2015,16.31,8.35,12.33
03/2015,19.58,10.52,15.05
04/2015,20.81,13.89,17.35
05/2015,25.97,17.02,21.5
06/2015,27.42,19.14,23.28
07/2015,31.28,21.35,26.32
08/2015,28.17,19.86,24.02
09/2015,24.97,17.53,21.25
10/2015,22.45,16.87,19.66
11/2015,20.64,12.71,16.68
12/2015,19.04,12.93,15.98
01/2016,17.46,11.25,14.35
02/2016,17.24,10.19,13.71
03/2016,17.76,8.33,13.05
04/2016,19.84,12.82,16.33
05/2016,23,15.21,19.1
06/2016,28.42,18.6,23.51
07/2016,30.57,21.37,25.97
08/2016,31.01,21.68,26.34
09/2016,28.05,19.36,23.71
10/2016,23.65,16.4,20.03
11/2016,19.59,11.95,15.77
12/2016,17.76,11.29,14.53
01/2017,16.36,7.68,12.02
02/2017,17.1,10.53,13.82
03/2017,19.05,11.12,15.08
04/2017,21.99,14.1,18.05
05/2017,24.7,16.5,20.6
07/2017,30.2,20.27,25.24
08/2017,29.99,20.79,25.39
09/2017,27.36,18.17,22.77
10/2017,26.15,18.1,22.13
11/2017,20.97,13,16.99
12/2017,17.2,8.74,12.97
01/2018,16.79,7.73,12.26
02/2018,16.2,7.51,11.86
03/2018,17.4,10.79,14.09
04/2018,19.12,11.66,15.39
05/2018,22.36,13.92,18.14
06/2018,24.76,16.84,20.8
07/2018,27.19,18.15,22.67
08/2018,31.26,21.61,26.44
09/2018,28.34,20.86,24.6
10/2018,23.37,16.38,19.87
11/2018,18.77,12.14,15.46
12/2018,18.07,9.57,13.82
