date,tmax,tmin,tmed
07/1957,33.7,16,24.85
08/1957,33.4,15.8,24.6
09/1957,30.7,15.9,23.3
10/1957,22.8,11.3,17.05
11/1957,16.9,7.6,12.25
12/1957,12.8,3.7,8.25
01/1958,13.4,5.3,9.35
02/1958,16.6,7.7,12.15
03/1958,17.1,6.6,11.85
04/1958,20,7.1,13.55
05/1958,25.5,10.5,18
06/1958,27.6,12.9,20.25
07/1958,32.5,14.3,23.4
08/1958,31.8,15.2,23.5
09/1958,29.8,14.6,22.2
10/1958,25.3,11.8,18.55
11/1958,18.8,7.5,13.15
12/1958,14.2,7.4,10.8
01/1959,14.5,7.4,10.95
02/1959,14.7,4.8,9.75
03/1959,15.8,7,11.4
04/1959,19.2,7.7,13.45
05/1959,22.3,10.6,16.45
06/1959,29.2,13.1,21.15
07/1959,33.1,16,24.55
08/1959,32.2,15.7,23.95
09/1959,27.6,15.2,21.4
10/1959,21.9,11.7,16.8
11/1959,16.6,7.8,12.2
12/1959,13.7,6.2,9.95
01/1960,13.2,5.2,9.2
02/1960,15,7.1,11.05
03/1960,16.5,7.1,11.8
04/1960,21.3,8.8,15.05
05/1960,23.9,11,17.45
06/1960,30,13.7,21.85
07/1960,32.1,14.3,23.2
08/1960,30.6,13.4,22
09/1960,28.9,14,21.45
10/1960,20.1,11.1,15.6
11/1960,16.7,9.6,13.15
12/1960,12.5,4.5,8.5
01/1961,12.1,4.5,8.3
02/1961,17.7,6.8,12.25
03/1961,20.8,8.1,14.45
04/1961,19.9,8.4,14.15
05/1961,27,12.4,19.7
06/1961,28.9,14.2,21.55
07/1961,33.2,15.5,24.35
08/1961,35.3,17.4,26.35
09/1961,29.1,15,22.05
10/1961,21.6,10.9,16.25
11/1961,16.5,8.1,12.3
12/1961,15.4,8.1,11.75
01/1962,13.7,5.4,9.55
02/1962,15.7,4.3,10
03/1962,15.8,7.8,11.8
04/1962,20.7,8.3,14.5
05/1962,25.4,10.2,17.8
06/1962,29.7,14.5,22.1
07/1962,32.3,13.8,23.05
08/1962,34.1,15.5,24.8
09/1962,30.7,15.1,22.9
10/1962,24,14,19
11/1962,15.3,5.9,10.6
12/1962,13.6,4.4,9
01/1963,13.3,6.5,9.9
02/1963,12.5,4.7,8.6
03/1963,16.3,6.8,11.55
04/1963,19.9,8.3,14.1
05/1963,24.7,10.8,17.75
06/1963,27.4,12.6,20
07/1963,32.9,15.1,24
08/1963,31.7,14,22.85
09/1963,28.1,13.6,20.85
10/1963,26.9,13.2,20.05
11/1963,17.2,10.6,13.9
12/1963,13.1,6.8,9.95
01/1964,14.1,5.1,9.6
02/1964,15,6.7,10.85
03/1964,15.9,6.8,11.35
04/1964,20,6.9,13.45
05/1964,27.7,11.5,19.6
06/1964,29.3,14.1,21.7
07/1964,32.4,14.8,23.6
08/1964,33,15.8,24.4
09/1964,31.1,17.8,24.45
10/1964,23.1,11.1,17.1
11/1964,17.6,7.9,12.75
12/1964,12.8,3.1,7.95
01/1965,13.3,4.4,8.85
02/1965,13.5,4.1,8.8
03/1965,17.1,7.1,12.1
04/1965,22.1,7.7,14.9
05/1965,28.4,11.6,20
06/1965,29.8,13.3,21.55
07/1965,30.1,12.3,21.2
08/1965,33,15.1,24.05
09/1965,26.2,12.5,19.35
10/1965,20.7,13.1,16.9
11/1965,15.6,7.9,11.75
12/1965,13.5,6.1,9.8
01/1966,14.8,8.2,11.5
02/1966,15.2,7.2,11.2
03/1966,18.4,5.1,11.75
04/1966,19.3,8.6,13.95
05/1966,26.2,10.3,18.25
06/1966,27.7,12.8,20.25
07/1966,32.1,14.4,23.25
08/1966,32.3,14,23.15
09/1966,30.9,16,23.45
10/1966,20.3,10.7,15.5
11/1966,14.8,5,9.9
12/1966,14.1,3.8,8.95
01/1967,13.5,4,8.75
02/1967,15.3,5.7,10.5
03/1967,19.1,7.6,13.35
04/1967,20.2,7.1,13.65
05/1967,22.3,8.4,15.35
06/1967,29.1,12.9,21
07/1967,33,13.6,23.3
08/1967,32.1,14.2,23.15
09/1967,28.3,14.2,21.25
10/1967,23.4,12.1,17.75
11/1967,15.7,7.9,11.8
12/1967,12.6,3.5,8.05
01/1968,14.7,3.4,9.05
02/1968,14.3,6.4,10.35
03/1968,15.7,6,10.85
04/1968,18.3,7.2,12.75
05/1968,24.1,9.9,17
06/1968,30.3,12.9,21.6
07/1968,32.3,15.1,23.7
08/1968,31.7,15.3,23.5
09/1968,27.8,14,20.9
10/1968,26.3,14.1,20.2
11/1968,17.3,9.8,13.55
12/1968,12.9,5.7,9.3
01/1969,13.7,6.9,10.3
02/1969,12.8,5.5,9.15
03/1969,15.6,7.1,11.35
04/1969,18.6,7.4,13
05/1969,21.8,9.5,15.65
06/1969,26.9,12.8,19.85
07/1969,34.9,16.7,25.8
08/1969,32.9,15.9,24.4
09/1969,24.7,13.3,19
10/1969,21.9,12.9,17.4
11/1969,16.2,7.2,11.7
12/1969,12.4,3.9,8.15
01/1970,13.5,7.7,10.6
02/1970,14.8,4.7,9.75
03/1970,15.8,4.4,10.1
04/1970,21,7.5,14.25
05/1970,24.4,11.2,17.8
06/1970,25.6,12.6,19.1
07/1970,32.6,15.1,23.85
08/1970,31.1,14.2,22.65
09/1970,31.1,15,23.05
10/1970,24.4,11.6,18
11/1970,20.7,10.1,15.4
12/1970,12,2.7,7.35
01/1971,12.4,5.3,8.85
02/1971,16.2,5.1,10.65
03/1971,15.7,4.6,10.15
04/1971,17,8.1,12.55
05/1971,19.2,8.9,14.05
06/1971,25.3,11.5,18.4
