Período de referência dos dados,Localização geográfica (Região agrária),Espécie,Superfície das principais culturas agrícolas (ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produção das principais culturas agrícolas (t) por Localização geográfica (Região agrária) e Espécie; Anual (1) ,Produtividade das principais culturas agrícolas (kg/ ha) por Localização geográfica (Região agrária) e Espécie; Anual (1) 
2023,Portugal,Principais culturas forrageiras,144145,3913692,27151
2023,Portugal,Milho forrageiro,67441,3000837,44496
2023,Portugal,Aveia forrageira,76704,912855,11901
2023,Portugal,Principais frutos frescos,43820,505666,11528
2023,Portugal,Pêra,10825,118348,10932
2023,Portugal,Maçã,13942,292225,20960
2023,Portugal,Pêssego,3785,34577,9136
2023,Portugal,Cereja,6472,11807,1824
2023,Portugal,Ameixa,1626,18668,11480
2023,Portugal,Damasco,585,2594,4435
2023,Portugal,Diospiro,283,4843,17083
2023,Portugal,Figo,3699,3724,857
2023,Portugal,Ginja,80,133,2161
2023,Portugal,Marmelo,1740,12743,7325
2023,Portugal,Nespera,154,508,3291
2023,Portugal,Romã,628,5496,8749
2023,Portugal,Frutos pequenos de baga,4689,61733,13166
2023,Portugal,Amoras,263,4971,18871
2023,Portugal,Framboesas,1677,35663,21263
2023,Portugal,Groselha,121,267,2200
2023,Portugal,Mirtilos,2627,20833,7930
2023,Portugal,Principais frutos subtropicais,8349,114451,13708
2023,Portugal,Kiwi,3528,48690,13800
2023,Portugal,Banana,1170,30977,26474
2023,Portugal,Ananás,74,1203,16257
2023,Portugal,Abacate,3577,33582,9388
2023,Portugal,Citrinos,22853,351727,15391
2023,Portugal,Laranja,17501,278706,15925
2023,Portugal,Tangerina,3458,35545,10278
2023,Portugal,Limão,1760,36213,20581
2023,Portugal,Tangera,115,1107,9601
2023,Portugal,Toranja,19,156,8104
2023,Portugal,Principais frutos de casca rija,128573,102788,799
2023,Portugal,Amêndoa,71689,69511,970
2023,Portugal,Castanha,50585,23825,471
2023,Portugal,Noz,5598,9199,1643
2023,Portugal,Avelã,701,253,361
2023,Portugal,Vinha,175658,999015,5691
2023,Portugal,Uva para vinho,173554,983009,5664
2023,Portugal,Uva para vinho (DOP),,,
2023,Portugal,Uva para vinho (IGP),,,
2023,Portugal,Uva para vinho (Vinhos sem certificação),,,
2023,Portugal,Uva de mesa,2104,16006,7954
2023,Portugal,Olival,380880,1194995,3137
2023,Portugal,Azeitona de mesa,6545,18907,2889
2023,Portugal,Azeitona para azeite,374334,1176087,3142
2023,Alentejo,Cereais para grão,67620,233107,3447
2023,Alentejo,Trigo,17666,21519,1218
2023,Alentejo,Trigo mole,14540,16322,1123
2023,Alentejo,Trigo duro,3126,5197,1662
2023,Alentejo,Centeio,162,74,456
2023,Alentejo,Aveia,11582,8310,718
2023,Alentejo,Cevada,10947,19282,1761
2023,Alentejo,Triticale,11394,7129,626
2023,Alentejo,Milho,9133,133713,14641
2023,Alentejo,Milho regadio,9133,133713,14641
2023,Alentejo,Milho sequeiro,0,0,
2023,Alentejo,Arroz,6736,43080,6395
2023,Alentejo,Principais leguminosas secas,3520,1927,547
2023,Alentejo,Feijão,1164,484,416
2023,Alentejo,Grão-de-bico,2356,1443,612
2023,Alentejo,Batata,623,19500,31318
2023,Alentejo,Batata de regadio,623,19500,31318
2023,Alentejo,Batata de sequeiro,0,0,
2023,Alentejo,Principais culturas para indústria,6001,250885,41809
2023,Alentejo,Tomate para indústria,2803,246951,88113
2023,Alentejo,Girassol,3198,3934,1230
2023,Alentejo,Tabaco,0,0,
2023,Alentejo,Beterraba,0,0,
2023,Alentejo,Lúpulo,0,0,
2023,Alentejo,Culturas hortícolas,,,
2023,Alentejo,Tomate fresco,,,
2023,Alentejo,Alface,,,
2023,Alentejo,Feijão-verde,,,
2023,Alentejo,Cebola,,,
2023,Alentejo,Cenoura,,,
2023,Alentejo,Pimento,,,
2023,Alentejo,Ervilha,,,
2023,Alentejo,Fava,,,
2023,Alentejo,Melão,,,
2023,Alentejo,Melancia,,,
2023,Alentejo,Morango,,,
2023,Alentejo,Couve-flor,,,
2023,Alentejo,Couve-brócolo,,,
2023,Alentejo,Couve-repolho,,,
2023,Alentejo,Couve-tronchuda,,,
2023,Alentejo,Couve-lombardo,,,
2023,Alentejo,Grelos (nabo e couve),,,
2023,Alentejo,Alho,,,
2023,Alentejo,Alho-porro,,,
2023,Alentejo,Courgette,,,
2023,Alentejo,Espinafre,,,
2023,Alentejo,Nabo,,,
2023,Alentejo,Abóbora (inclui butternut),,,
2023,Alentejo,Outras hortícolas,,,
2023,Alentejo,Principais culturas forrageiras,34420,541847,15742
2023,Alentejo,Milho forrageiro,2779,153069,55088
2023,Alentejo,Aveia forrageira,31641,388778,12287
